## [BeGaze]
## Converted from:	E:\henrik-iwk1\henrik-1-recording.idf
## Date:	13.12.2019 13:30:00
## Version:	BeGaze 3.6.52
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3381
## Reversed:	none
## [Run]
## Subject:	henrik
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time;Type;Trial;L Pupil Diameter [mm];R Pupil Diameter [mm]
196885643;SMP;1;3.60;3.40
196902384;SMP;1;3.60;3.42
196918845;SMP;1;3.60;3.40
196935919;SMP;1;3.58;3.36
196952554;SMP;1;3.58;3.30
196968671;SMP;1;3.56;3.28
196985432;SMP;1;3.54;3.32
197001987;SMP;1;3.58;3.32
197018660;SMP;1;3.48;3.28
197035399;SMP;1;3.48;3.26
197052222;SMP;1;3.50;3.22
197068494;SMP;1;3.42;3.26
197084988;SMP;1;3.44;3.26
197101935;SMP;1;3.48;3.26
197118286;SMP;1;3.48;3.26
197135026;SMP;1;3.48;3.24
197151550;SMP;1;3.44;3.24
197168035;SMP;1;3.50;3.24
197184704;SMP;1;3.52;3.30
197201382;SMP;1;3.46;3.32
197234410;SMP;1;3.56;3.30
197250780;SMP;1;3.56;3.32
197267786;SMP;1;3.60;3.28
197284314;SMP;1;3.60;3.36
197300750;SMP;1;3.60;3.36
197334016;SMP;1;3.64;3.38
197350348;SMP;1;3.62;3.38
197367174;SMP;1;3.62;3.42
197383530;SMP;1;3.62;3.40
197400256;SMP;1;3.74;3.40
197417156;SMP;1;3.72;3.42
197450484;SMP;1;3.76;3.42
197466771;SMP;1;3.80;3.52
197483390;SMP;1;3.80;3.54
197499677;SMP;1;3.80;3.50
197516347;SMP;1;3.82;3.58
197533043;SMP;1;3.80;3.58
197550061;SMP;1;3.88;3.60
197566466;SMP;1;3.84;3.60
197582783;SMP;1;3.88;3.60
197599379;SMP;1;3.94;3.62
197615895;SMP;1;3.92;3.62
197632824;SMP;1;3.94;3.62
197649011;SMP;1;3.94;3.64
197665662;SMP;1;3.96;3.74
197682229;SMP;1;3.98;3.72
197699018;SMP;1;4.00;3.72
197715397;SMP;1;4.02;3.76
197731999;SMP;1;4.04;3.72
197748606;SMP;1;4.02;3.74
197765228;SMP;1;4.00;3.76
197781913;SMP;1;4.04;3.74
197798398;SMP;1;4.02;3.78
197815081;SMP;1;4.06;3.78
197831863;SMP;1;4.08;3.78
197848232;SMP;1;4.02;3.80
197864753;SMP;1;4.08;3.82
197881554;SMP;1;4.14;3.80
197897975;SMP;1;4.14;3.90
